pathway,pcc,r2,mae,rank
MYC_Targets,0.6943907712783643,0.45863305530212295,0.5813766736222787,1
Oxidative_Phosphorylation,0.6760364429895973,0.44605577083547276,0.5824543240744257,2
ECM_Organization,0.6733073684817977,0.31341378794415564,0.5341580937471336,3
Fibrosis,0.637593260939035,0.28156936251511355,0.5452139690898304,4
tls,0.6190188828838639,0.3112704139841188,0.4381065584383401,5
IL6_JAK_STAT3,0.5757786820972859,0.33074031440915164,0.6358036080289001,6
Glycolysis,0.5735002127558165,0.30445151914448454,0.6566634331923277,7
toxic,0.5284329002360221,0.21488819740343557,0.4979050677881205,8
Wound_Healing,0.5251222903162469,0.16148265966657194,0.6301025987751201,9
emt,0.5037158519865154,0.14861183888373874,0.6039013065781168,10
E2F_Targets,0.502095507044525,0.2408645235778204,0.5725073293804596,11
Angiogenesis,0.46373356268599675,0.17220228580204655,0.6285204817235894,12
mTOR_Signaling,0.45922772352607916,0.20906734664314341,0.6383200946158192,13
mhc,0.44051206151409217,0.18822500971564593,0.7571215771455725,14
G2M_Checkpoint,0.43090133680841003,0.17544130831345517,0.5720291610529555,15
hypoxia,0.42108821327945073,0.1068840062082379,0.7332508633520678,16
Mitotic_Spindle,0.41128612271879017,0.16224718613593758,0.5860473285760038,17
P53_Pathway,0.40164775810920844,0.15273760088444177,0.6689010985131311,18
Unfolded_Protein_Response,0.36808334720193847,0.12887036387565975,0.690293524455481,19
Complement,0.3591170442567305,0.056822947394023715,0.6419102154249288,20
Inflammatory_Response,0.3473818689028074,0.11392295324339219,0.7580880750566215,21
DNA_Damage_Response,0.3256284684228497,0.09299444579117055,0.6101590880130143,22
TNF_Signaling,0.3107739675929495,0.09252395708351346,0.7554328104333372,23
icp,0.303927637633735,0.06230717142608799,0.44616516277663615,24
Reactive_Oxygen_Species,0.29192578771999866,0.0788965107696431,0.7296000154087382,25
Coagulation,0.2890624360699525,0.04820631234683148,0.7430818082815819,26
Apoptosis,0.21471632271315408,0.026150311387679426,0.6713736615931413,27
tgfb,0.19415039310636667,0.012256891874800835,0.6607490360474727,28
ifng,0.12749067001039252,-0.027867080489148988,0.67776187920111,29
Interferon_Alpha,0.052598404214454025,-0.19862905144722376,0.8468728477446673,30
