barcode,tls,tgfb,emt,hypoxia,mhc,icp,ifng,toxic,Glycolysis,Inflammatory_Response,IL6_JAK_STAT3,P53_Pathway,DNA_Damage_Response,Complement,Coagulation,Oxidative_Phosphorylation,Reactive_Oxygen_Species,Wound_Healing,Fibrosis,MYC_Targets,E2F_Targets,G2M_Checkpoint,Mitotic_Spindle,Unfolded_Protein_Response,mTOR_Signaling,Interferon_Alpha,Angiogenesis,Apoptosis,TNF_Signaling,ECM_Organization
patch_x10752_y3360,0.7916741222978679,-0.8138719985777843,-0.7999219968170858,-1.167888011575393,-2.0979387627619044,0.09134643016645667,-0.8525135116121446,0.28616979090058386,-1.3487705779596713,-0.7765472891029437,-1.6765356170784405,-1.2002227324353067,-0.35147978787899964,-0.6228462991537193,0.13341093539786547,-1.3401698067665129,-1.0813546443985003,-0.8110770464732714,-0.8275637705148424,-1.5031179512597894,-0.6670537862923732,-0.5202656575648338,-0.4732693622219039,-1.264348682209234,-1.122613425869731,-1.0047867485981306,-0.4374418555450485,-0.9083653932300074,-1.2164834109893752,-1.0213034001209882
patch_x11088_y3024,0.7888948573635713,-0.8174036082381974,-0.802254026306047,-1.1696309511012084,-2.101164248814423,0.08873200202283832,-0.853788314137488,0.2838181380826147,-1.351452597649032,-0.7786593945784018,-1.678771764207043,-1.20261517988994,-0.3550482472501219,-0.6247986948510899,0.12894605669276815,-1.3420520870662183,-1.0858981199686846,-0.8134992351283956,-0.8292867930084729,-1.50429771494575,-0.6693393089549344,-0.5223352099897512,-0.475759224862404,-1.2668476358005574,-1.125233127881321,-1.00761988779962,-0.4400670635491679,-0.9113104388607114,-1.2183087066049638,-1.022810624975762
patch_x11088_y3360,0.777350218405717,-0.8318243476848798,-0.8120485501596919,-1.177474178967382,-2.1136054093027115,0.07958150352017586,-0.8590034153775331,0.2742373303056981,-1.3628936183492129,-0.7876972412640831,-1.6885594901633827,-1.213231665469876,-0.3696369487967795,-0.6331805315518703,0.10890991350365596,-1.3500701122389964,-1.1052926574772313,-0.8243400063043803,-0.8368595832273874,-1.0200630327225912,-0.6796407226948837,-0.5316481959018757,-0.4863411410845257,-1.2771791304990068,-1.1367411045750866,-1.0199565952086265,-0.4520992669013783,-0.9239649318051364,-1.2253817271153675,-1.0292996246136845
patch_x11088_y3696,0.7800225885348493,-0.8315300468798432,0.019942269133970757,-1.1762858111088705,-2.114526976746288,0.0836120802415878,-0.8568014837428478,0.2759792953560472,-1.3623504244880755,-0.7859780856445245,-1.687129822327062,-1.211686543155426,-0.3689547433287655,-0.630790529922329,0.11337479220875328,-1.348701181111936,-1.1043432745222626,-0.822892600888511,-0.8353492795601319,-1.5083285742061119,-0.6780176703692943,-0.5303130007890249,-0.485212922075548,-1.1797947609352102,-1.1350102300317146,-1.0196696950363209,-0.4500428539648169,-0.9222163109619056,-1.2231327021604452,-0.853104116633376
patch_x11088_y4032,0.7829087482743139,-0.8247611283640539,-0.8069958196002723,-1.1735129527723442,-2.107154437197673,0.08459249079544498,-0.856164082480176,0.2793761272042256,-1.0537509631148059,-0.7829327242613048,-1.6836472981103885,-1.2080480293181706,-0.36192277927390587,-0.6286361622562655,0.11973724436351119,-1.3459633188578173,-1.0954597625865328,-0.8188162346152554,-0.8328604692915559,-1.5064360366265521,-0.6743078364822424,-0.5267747337399767,-0.48108908707722364,-1.271957436427588,-1.130893555442075,-1.013716516461048,-0.44619254889211263,-0.9174306118120161,-1.2216659467550641,-1.025904402309246
patch_x11424_y11760,-0.10795255797336586,-0.19973324021769265,0.16465465688693595,0.7144576799546832,0.4612540280511779,1.036190507591336,-1.2116601503431945,-0.4106162292386933,1.249989187857558,0.6723762757724384,-0.043362522414464776,0.3917999829068974,-0.17632921369013332,0.31812809521828234,-0.7945297284022953,-0.49027274755360367,0.31328232595429906,0.08952570556050637,0.35254714554984595,0.9936039562201355,-1.24768183817253,-0.9944972667335532,-0.8118721351002133,-0.20539280399265236,-0.03750894890287518,-0.6467937394749956,-0.7632088204116527,-0.28239784149026564,-0.9512496731147836,-0.2047416221614378
patch_x11424_y12096,-0.13403489043370193,-0.714667826945478,0.08964359794930053,-0.6500408553165544,0.41886192564663993,-0.5623695402439074,0.8820125549507762,-0.43570052596370845,0.034329332286921185,0.3362631051593545,-0.23859024260860112,0.7221816860363296,0.6478730747616307,0.5587592424509039,-0.1236724824584368,0.37090020316126693,0.27358583663677805,0.5113777170915701,0.2987522157306993,0.13768350710523236,0.6917929279464538,0.497084696352067,-0.2960149908382286,0.5367410178193808,-0.4353153671706358,-0.8009127853501915,-0.05402479888130075,-0.8616765693952879,0.8543706598119675,-0.16897114403116914
patch_x11424_y12432,-0.07609790603410596,0.2561056362833535,-0.5888455493318684,-1.0241011775335636,0.462175595494755,-0.5195582793921707,-1.1962466289003977,-0.39093202416976114,-0.2677845402221738,-0.06339418591818956,0.8183990082621461,0.1819622577389067,-0.5505968412644014,-0.35268266736734943,-0.8643448213764339,-0.34198065793233845,0.2823989885813086,-0.7794321180070418,-0.355377744439502,0.7219935629668671,0.6249357920235344,-0.008314544944512857,0.2309405451760988,-0.6321802606225561,-1.3636894448876198,-2.000904146832127,-0.6770080899264829,-0.7960324560843411,-0.07887566674915673,-0.32135685068656356
patch_x11424_y14784,0.16719467052213663,0.20253089031875465,-1.3394758862467373,-0.47682135110297436,-2.7877319942792216,-0.35648332393402665,-1.1011579496235897,-0.19835778785376634,-0.43493205032600357,0.40535236603703756,0.1955110536080372,-0.08619384218587585,-0.18094977635760592,-1.0545613822360673,1.1804308022446959,-0.7727601369198488,0.1790203037363849,-0.8298018178295686,-0.5870916602226462,-0.8411332685557237,-1.2202496411826347,-0.9962627152955762,-1.0408024278405799,-0.17639579308077694,-0.2563260808045056,-1.059227155288011,-0.4619242321836706,-1.0885881006672096,-0.5460410600000744,-1.3634117111051611
patch_x11424_y15120,0.34111251852609364,-0.875308977931249,-1.1893709214738424,-1.4765467566926458,0.05484278543375957,-0.23523921877376494,-1.0347523271670254,-0.06753621257261734,-1.2122543741673386,-0.1321137536889248,-1.4517139836991937,-1.6235862465947541,-0.6058399268017889,-0.9364751045399353,0.409689619335732,-1.259706234063002,-1.9039271618062663,-1.2366437776241292,-0.8244259344316582,-1.4947751777084772,-1.0694382689704687,-0.8690186210410468,-0.8875591631386344,-1.0070903287247066,-0.9026767791366925,-1.097992685632487,-0.9066102793477149,-0.5448900817773931,0.0391474022363315,-1.2695354009399074
