barcode,tls,tgfb,emt,hypoxia,mhc,icp,ifng,toxic,Glycolysis,Inflammatory_Response,IL6_JAK_STAT3,P53_Pathway,DNA_Damage_Response,Complement,Coagulation,Oxidative_Phosphorylation,Reactive_Oxygen_Species,Wound_Healing,Fibrosis,MYC_Targets,E2F_Targets,G2M_Checkpoint,Mitotic_Spindle,Unfolded_Protein_Response,mTOR_Signaling,Interferon_Alpha,Angiogenesis,Apoptosis,TNF_Signaling,ECM_Organization
patch_x10416_y11088,-0.5576845189693118,0.17698616591698035,0.15183273498671493,0.9928933283145643,0.3456421332523746,-1.1514238935393684,-0.39264146984746184,-0.9241594555700537,0.44852627814610874,-0.12003372595894554,0.8401373997235956,1.0953898035422276,-0.9027567470246498,-0.7023492975299596,-0.5501727317865303,1.04087750198175,-0.7879892151506898,-0.7222204585441119,-0.6224897690645484,0.19214069784470503,-0.28714981956980196,-0.4372979719811479,-0.5221154990312926,1.0557523256170331,-0.417763785409928,-1.4114402507277077,-0.023608897708849018,0.5773558599801327,-0.48348878496125935,-0.6111381736814367
patch_x13776_y4368,0.8372832907997836,-1.3164906748775944,-1.0275921942996271,-1.6238784725941926,-2.928444469121611,-0.1498320514591682,-1.1202936868537967,0.16827536018609845,-1.942690441800563,-0.6902928926140347,-2.320682886067792,-1.7917805558385265,-0.6883311067383249,-0.9772476289390744,0.5056553162543729,-1.9293370007326887,-1.6795866578154452,-1.0605793184626684,-1.1127111446564515,-1.9787470275675094,-0.9647668154193779,-0.7864469967634607,-0.2376578870739385,-1.940322608947244,-1.7185473568037588,-1.3069316721165334,-0.6864113729121939,-1.4670423965690311,-1.2421942548458467,-1.2999422618983851
patch_x13776_y5040,0.7648313465320561,-1.4329469482306565,-0.24237378541377014,-0.4901525702324737,-3.051358493830954,-0.2013356673808808,-1.1551339531669325,0.11338727056042637,-1.4359105619998704,-0.3843784778042696,-1.885119142398858,-1.2274903546161977,-0.7936775076880538,-1.0339862757387128,1.0010548321114603,-1.735180588053476,-0.933804693348063,-0.7716173491725884,-0.9241251447167477,-2.1305493780833853,-1.0368987539752932,-0.8469928402428298,-0.7802727744609925,-2.02481086653289,-1.8080924532264446,-0.7500156844488503,0.08190524267683442,-1.5627703691644723,-0.7987218321147853,-1.231687434068311
patch_x13776_y7056,0.8225291406019191,-1.3370303836553394,-0.08514581287343581,-1.6363432107432814,0.3570759960160334,-0.16168470479214436,-0.3493764175460972,0.15647509521743364,-1.962967395529995,-0.708551489877302,-1.6632129214877505,-1.8069447943691404,-0.7088481870859673,-0.9878127562741799,0.9078450337555443,-1.056705565433755,-1.7110754677518594,-1.07449879552946,-1.1227341389758456,-2.1011942410875357,-0.9780971531401835,-0.7981251512777614,-0.7228620091378083,-1.7839902271693895,-1.1583479843197244,-0.9662522515369651,-0.29236628298132294,-1.485234647185613,-1.2611948609198367,-1.3595969743606182
patch_x13776_y7728,0.8331620197947949,-1.3246290500536815,-1.0328079766782816,-1.626638521755775,-2.9290161622597943,1.2739668112140508,-1.1224180933363048,0.16524100633701447,-1.9484114394599366,-0.5338147895438499,-2.324907970327577,-1.7963156552121662,-0.6936150879879481,-0.9805887375835083,0.9263695076076373,-1.9330759797527997,-1.6888933505299855,-1.0652191441515968,-1.1157982269068245,-2.095500356756444,-0.9695064910534403,-0.7897378482849455,-0.7116516230096108,-1.945078818483313,-1.72265747211145,-1.3116849029762767,-0.6901323942604967,-1.472771206258385,-1.0127140036655586,-1.3524619007799084
patch_x13776_y8400,0.8149460019527365,-1.3524351652386468,-0.185989897749435,-0.9700231260708178,-2.9616026711362244,-0.16765366690227743,-1.132455913966156,0.15229442991425002,-1.9732507077784942,-0.6771421748882678,-2.055102672156224,-1.8162039555903247,-0.7186544946303158,-0.9948862745754607,0.23624872155797416,-1.823851850401963,-1.7305985299124367,-1.0843352259899912,-1.1296900970335055,-1.6763743404275953,-0.6352829959998687,-0.8047942220602397,-0.7296561825488361,-1.9655267744415446,-1.7457941886188098,-1.0492039904019663,-0.7115743192576509,-1.496823460679352,-1.737316710065998,-1.1976053139223979
patch_x13776_y9072,0.856653264523238,-1.284034059592004,-1.005343622590672,-1.6046471623070269,-2.891284415139717,-0.1365297930423009,-1.1117429507617,0.1835819896025952,-1.9147734215766454,-0.7069643757316292,-2.2995942046319864,-1.7694357432996453,-0.6587693738012331,-0.9612945876638433,0.32137556428474334,-1.9118385789185657,-1.631933592111673,-1.039474739900444,-1.0977167451546344,-2.083024423533206,-0.9454230142378511,-0.7696141456181604,-0.6881777538745085,-1.9166164622044604,-1.6935172163906047,-1.2804298453805383,-0.3646641308145656,-1.440891036307686,-1.4547119224891558,-1.3372028841456858
patch_x14448_y3696,0.8509659105363525,-1.2915911222555145,-1.0114558675656602,-1.6082975499078316,-2.8987164259360956,-0.14258402603972067,-1.1150357808095877,0.1797384747270864,-1.9210013430792572,-1.007959188196566,-2.304370386838702,-0.9236216824470994,-0.6653386477872529,-0.9656590989561239,0.3120163437749432,-1.9164250598499029,-0.9966507243262229,-1.0442206187479812,-1.1016257129392004,-2.085479120333722,-0.9496887223085113,-0.27298531023029327,-0.11058657101579697,-1.2655788185114487,-1.6998440231002028,-1.2857644066332041,-0.6707536098128982,-1.4468385028554174,-1.712033387487267,-1.3405041868472105
patch_x14448_y4368,0.8068683107829561,-1.3642551863277264,-0.19342024009888642,-0.4740292723589323,-2.978753465281714,0.8582525735526016,-0.31893506116953757,0.14501198067644613,-1.9852720446323746,-0.3676915741226539,-1.7233297023218013,-1.825935522996264,-0.731935852906401,-1.002110293266131,0.21926541692502446,-1.9571051515887166,-1.4409990788052172,-0.7356016827211416,-1.1358642615342533,-2.108684862251993,-0.8856792484710514,-0.6129598540473624,-0.5083409021050066,-1.9755260496079299,-1.756046386352609,-1.3469066856060485,-0.22605233593332835,-0.5266951177353781,-1.2739509213438582,-1.0680541653665718
patch_x14448_y5040,0.8243424998441149,-1.3384836649367822,-0.1580967558112655,-1.6362541768993586,0.363364620536047,-0.15997928704639197,-1.1272511180840108,0.15883514821116673,-1.9615552505381235,-0.22467358051580308,-1.2258959400643026,-1.6075064320891808,-0.7070392565680774,-0.988294357520223,1.1127804470951217,-1.941401439704247,-1.4052457670727516,-1.0739950430260894,-1.122633909032651,-1.789227859227356,-0.9778305463857649,-0.797600944840708,-0.7210955240509396,-1.9547035889618198,-1.7344798262549306,-0.6661948380819565,-0.7018849270338503,-1.3060310818824143,-1.2602551596095743,-1.0206037592101964
