val_patch,neighbor_patch,dx,dy,iou,neighbor_final_split
patch_x10080_y17472,patch_x10080_y17136,0,336,0.3333,embargo
patch_x10080_y17472,patch_x10416_y17136,336,336,0.1429,embargo
patch_x10080_y17472,patch_x9744_y17136,336,336,0.1429,embargo
patch_x10080_y18480,patch_x10080_y18816,0,336,0.3333,embargo
patch_x10080_y18480,patch_x10416_y18816,336,336,0.1429,embargo
patch_x10080_y18480,patch_x9744_y18816,336,336,0.1429,embargo
patch_x10416_y17472,patch_x10080_y17136,336,336,0.1429,embargo
patch_x10416_y17472,patch_x10416_y17136,0,336,0.3333,embargo
patch_x10416_y17472,patch_x10752_y17136,336,336,0.1429,embargo
patch_x10416_y18480,patch_x10080_y18816,336,336,0.1429,embargo
patch_x10416_y18480,patch_x10416_y18816,0,336,0.3333,embargo
patch_x10416_y18480,patch_x10752_y18816,336,336,0.1429,embargo
patch_x10752_y17472,patch_x10416_y17136,336,336,0.1429,embargo
patch_x10752_y17472,patch_x10752_y17136,0,336,0.3333,embargo
patch_x10752_y17472,patch_x11088_y17136,336,336,0.1429,embargo
patch_x10752_y17472,patch_x11088_y17472,336,0,0.3333,embargo
patch_x10752_y17472,patch_x11088_y17808,336,336,0.1429,embargo
patch_x10752_y17808,patch_x11088_y17472,336,336,0.1429,embargo
patch_x10752_y17808,patch_x11088_y17808,336,0,0.3333,embargo
patch_x10752_y17808,patch_x11088_y18144,336,336,0.1429,embargo
patch_x10752_y18144,patch_x11088_y17808,336,336,0.1429,embargo
patch_x10752_y18144,patch_x11088_y18144,336,0,0.3333,embargo
patch_x10752_y18144,patch_x11088_y18480,336,336,0.1429,embargo
patch_x10752_y18480,patch_x10416_y18816,336,336,0.1429,embargo
patch_x10752_y18480,patch_x10752_y18816,0,336,0.3333,embargo
patch_x10752_y18480,patch_x11088_y18144,336,336,0.1429,embargo
patch_x10752_y18480,patch_x11088_y18480,336,0,0.3333,embargo
patch_x10752_y18480,patch_x11088_y18816,336,336,0.1429,embargo
patch_x11088_y2688,patch_x10752_y3024,336,336,0.1429,embargo
patch_x11088_y3024,patch_x10752_y3024,336,0,0.3333,embargo
patch_x11088_y3024,patch_x10752_y3360,336,336,0.1429,embargo
patch_x11088_y3360,patch_x10752_y3024,336,336,0.1429,embargo
patch_x11088_y3360,patch_x10752_y3360,336,0,0.3333,embargo
patch_x11088_y3360,patch_x10752_y3696,336,336,0.1429,embargo
patch_x11088_y3696,patch_x10752_y3360,336,336,0.1429,embargo
patch_x11088_y3696,patch_x10752_y3696,336,0,0.3333,embargo
patch_x11088_y3696,patch_x10752_y4032,336,336,0.1429,embargo
patch_x11088_y4032,patch_x10752_y3696,336,336,0.1429,embargo
patch_x11088_y4032,patch_x10752_y4032,336,0,0.3333,embargo
patch_x11088_y4032,patch_x10752_y4368,336,336,0.1429,embargo
patch_x11088_y4368,patch_x10752_y4032,336,336,0.1429,embargo
patch_x11088_y4368,patch_x10752_y4368,336,0,0.3333,embargo
patch_x11088_y4368,patch_x10752_y4704,336,336,0.1429,embargo
patch_x11088_y4368,patch_x11088_y4704,0,336,0.3333,embargo
patch_x11088_y4368,patch_x11424_y4704,336,336,0.1429,embargo
patch_x11088_y9072,patch_x11424_y9408,336,336,0.1429,embargo
patch_x11424_y4368,patch_x11088_y4704,336,336,0.1429,embargo
patch_x11424_y4368,patch_x11424_y4704,0,336,0.3333,embargo
patch_x11424_y4368,patch_x11760_y4704,336,336,0.1429,embargo
patch_x11424_y9072,patch_x11424_y9408,0,336,0.3333,embargo
patch_x11424_y9072,patch_x11760_y9408,336,336,0.1429,embargo
patch_x11760_y4368,patch_x11424_y4704,336,336,0.1429,embargo
patch_x11760_y4368,patch_x11760_y4704,0,336,0.3333,embargo
patch_x11760_y4368,patch_x12096_y4704,336,336,0.1429,embargo
patch_x11760_y9072,patch_x11424_y9408,336,336,0.1429,embargo
patch_x11760_y9072,patch_x11760_y9408,0,336,0.3333,embargo
