label,mean,std,count
tls,-2921.769560490328,2031.8604961323515,9166
tgfb,4611.210580259579,1695.1821430718066,9166
emt,2367.1779219051227,2042.6688709140642,9166
hypoxia,3369.6946752873637,2251.9022241357884,9166
mhc,8391.028670280719,1771.9539220297427,9166
icp,-3331.687950294795,1900.0928921495527,9166
ifng,220.2003334435702,3149.454335319181,9166
toxic,-2029.1044063465542,2453.0639638980047,9166
Glycolysis,3428.6893861221715,1634.02995074227,9166
Inflammatory_Response,602.5240518770628,2240.796590651248,9166
IL6_JAK_STAT3,3770.5094040050476,1927.4766378414606,9166
P53_Pathway,2018.6715796819124,1756.1842278714603,9166
DNA_Damage_Response,1667.240357268131,1640.51690429841,9166
Complement,-1107.1861154811074,1939.6382799388018,9166
Coagulation,-936.1332020331989,1054.8395506007862,9166
Oxidative_Phosphorylation,4036.0718407970157,2351.634350412711,9166
Reactive_Oxygen_Species,3255.5828763327195,1088.4366081072267,9166
Wound_Healing,2690.801396252345,2189.922105854006,9166
Fibrosis,3065.3794326335055,2891.3342509156373,9166
MYC_Targets,3606.1316727783837,3043.7494482420043,9166
E2F_Targets,2199.53286505078,2267.1441776907027,9166
G2M_Checkpoint,1185.1267407236862,2490.922141909027,9166
Mitotic_Spindle,928.1346758458354,2136.571108424393,9166
Unfolded_Protein_Response,3664.0531179876975,1907.845212281668,9166
mTOR_Signaling,3007.9425566366685,1823.4298769938018,9166
Interferon_Alpha,4173.17796757126,1943.8329483579562,9166
Angiogenesis,1640.1410085001469,2050.538839145019,9166
Apoptosis,2054.801634129216,1640.772570968932,9166
TNF_Signaling,1457.1103162618406,2339.283001818702,9166
ECM_Organization,4087.6469858707414,3257.387396419605,9166
