pathway,pcc,r2,mae,rank
ECM_Organization,0.7029460650257426,0.29683555758497804,0.5761124694862712,1
MYC_Targets,0.6950769618866769,0.46561185835656027,0.5569481690118832,2
Fibrosis,0.6647617869801622,0.2902534697040793,0.568349131788305,3
Oxidative_Phosphorylation,0.65991972828427,0.4175313979126145,0.5775608774565348,4
tls,0.6077037806978604,0.3244346070636722,0.44915868537915254,5
Wound_Healing,0.5818290878964765,0.1782693709504538,0.6370386282497176,6
IL6_JAK_STAT3,0.5611407537911463,0.29867272011451174,0.6318479118520376,7
Glycolysis,0.5450952786750088,0.2518662150013866,0.66801013913026,8
emt,0.5104439053466594,0.15547940574748775,0.6210056871640489,9
toxic,0.503101668045585,0.2073936537015778,0.5054496160511299,10
E2F_Targets,0.4768648712532398,0.18573429881137804,0.5994913407444858,11
Angiogenesis,0.4656707683941293,0.17459867913378946,0.6307658092716573,12
G2M_Checkpoint,0.44302295812205306,0.18029662101793786,0.5735532979574011,13
mTOR_Signaling,0.4422401902894192,0.18788378620067503,0.6398936090963842,14
mhc,0.42629667015624734,0.1322523617821726,0.7422685039758569,15
hypoxia,0.41622599301405416,0.0707106089608317,0.744311234866452,16
Mitotic_Spindle,0.40095441074863647,0.14405778411406323,0.5982653508126178,17
P53_Pathway,0.36754605705919735,0.12259349230909455,0.671441086229971,18
Complement,0.35796679516359986,0.006639732395861242,0.6683292869526214,19
Inflammatory_Response,0.3393311392705259,0.08486281578041666,0.7638169958607702,20
Unfolded_Protein_Response,0.32971238331857977,0.08535483683082601,0.692613246961533,21
icp,0.2882188999310665,0.04052316176093351,0.45152214434267196,22
DNA_Damage_Response,0.2675392998610067,0.016892388238414102,0.6212532093591498,23
Reactive_Oxygen_Species,0.261328853303581,0.04052467025737905,0.7196836457006892,24
TNF_Signaling,0.2558187664204775,0.004754978155761647,0.7861777118739849,25
Apoptosis,0.15442285798594277,-0.02124140239493144,0.6863719587784286,26
ifng,0.15292185457211577,-0.08663168881364669,0.6884058937104481,27
Coagulation,0.14944749150234643,-0.04776450235755614,0.7889434648010433,28
tgfb,0.1319384940655617,-0.036989854423061796,0.6734514276576384,29
Interferon_Alpha,0.035037755505320616,-0.3045234487365003,0.8911232964782335,30
