pathway,pcc,r2,mae,rank
ECM_Organization,0.8170414339404446,0.6502292420385549,0.4471552291750944,1
Oxidative_Phosphorylation,0.8022665395711285,0.6433076629192871,0.43199975379056604,2
MYC_Targets,0.7904062491666678,0.6035799840335636,0.43360619320264154,3
Fibrosis,0.7480725374749233,0.5213358228151225,0.493189631082,4
Glycolysis,0.700024924028463,0.4711922226269979,0.5238948420633962,5
IL6_JAK_STAT3,0.6986118331485707,0.47051713128810035,0.5564605735426416,6
Wound_Healing,0.6493614483334633,0.40212140845495203,0.5079648941334339,7
Coagulation,0.6343923064723429,0.3768741283508591,0.5048090427501887,8
emt,0.6235859660056002,0.37613875486489223,0.5381126626690567,9
E2F_Targets,0.5759337543185054,0.313342557140984,0.5431992609339622,10
tls,0.572979357026265,0.3001614822126927,0.3552002045030189,11
toxic,0.539277762854688,0.23446793320357784,0.3262737841241509,12
hypoxia,0.5379723666615054,0.252559229401356,0.6055676942007547,13
Inflammatory_Response,0.5107084039364892,0.22894044572716088,0.649629107685283,14
Angiogenesis,0.4988056029014948,0.232919512184516,0.6707979232826415,15
G2M_Checkpoint,0.4985816536140475,0.24506058202557834,0.5092443846494339,16
Complement,0.48591734064789843,0.2350979818579222,0.4688757601226415,17
mhc,0.4832445612229132,0.1920876605748033,0.6593476219070565,18
TNF_Signaling,0.48000850484992413,0.22815409171273426,0.7380659100289434,19
DNA_Damage_Response,0.4381164797924442,0.176771352283844,0.5292387134453207,20
Interferon_Alpha,0.4301650807815379,0.12989440196493962,0.5739227916682641,21
Unfolded_Protein_Response,0.422351130333147,0.16515830765343142,0.6269842753190566,22
P53_Pathway,0.41788180739160913,0.16137687029385972,0.7162995898056604,23
mTOR_Signaling,0.4114517580187406,0.1603703015096123,0.6086007972113208,24
Mitotic_Spindle,0.3769448203803997,0.12660293316062632,0.5795893220192453,25
Reactive_Oxygen_Species,0.36793485059649267,0.09588720206796875,0.7043340240407547,26
tgfb,0.28078150828441534,0.0334384667787212,0.6426036039916981,27
icp,0.25389550120705195,0.02121991671246093,0.3833672406845283,28
Apoptosis,0.23759111535044444,0.044161892358217214,0.6402739861488301,29
ifng,0.1252592356493345,0.0004300026071187846,0.5053153540984905,30
