pathway,pcc,r2,mae,rank
MYC_Targets,0.6819198766039786,0.46426005385293,0.5499762156220904,1
Oxidative_Phosphorylation,0.6712171600127185,0.45019450758930235,0.5579583282389303,2
ECM_Organization,0.6686281462415224,0.3127133405906031,0.555804865659919,3
Fibrosis,0.6424092177792211,0.30620725536351734,0.5495558289364219,4
tls,0.5824916409034447,0.2874815950361753,0.44980820239662894,5
Glycolysis,0.561192439216152,0.30558673045686446,0.6362326754296271,6
Wound_Healing,0.5395284969740495,0.17657617986002327,0.6224981177625989,7
IL6_JAK_STAT3,0.5329036752980283,0.26030082106285923,0.6458064514255216,8
toxic,0.511416173252497,0.2152550088820716,0.51279702628,9
emt,0.5039158890081832,0.18632636551464854,0.6144209781026365,10
E2F_Targets,0.4998551668233637,0.23001278299085515,0.5813204968575217,11
mhc,0.44802149133833047,0.14264614241673645,0.7604459650941892,12
G2M_Checkpoint,0.4429449718663289,0.15832135333773356,0.569914057374693,13
mTOR_Signaling,0.44222418115538653,0.16173826128032232,0.6333784784382297,14
Angiogenesis,0.4320719351999299,0.14944498839100995,0.6375067390925575,15
hypoxia,0.4202018961835687,0.13446553671240324,0.6984441461645952,16
Mitotic_Spindle,0.4118247894368581,0.14141055208833764,0.5957267605261016,17
Complement,0.38044276524903525,0.09266941003573859,0.6313179949376159,18
Unfolded_Protein_Response,0.37522736398662304,0.08338797248441954,0.6728853367911902,19
P53_Pathway,0.3689453011483512,0.08475514650523008,0.6665282463927206,20
icp,0.313208312119154,0.07763891327379513,0.4563064368013469,21
DNA_Damage_Response,0.3045241302980979,0.08334171053151262,0.6259335662184154,22
Coagulation,0.2992616135191366,0.01937033861555626,0.7583536295994916,23
Inflammatory_Response,0.29862523589262957,0.014883701139549843,0.7745978418944407,24
TNF_Signaling,0.26554325786349425,0.02897426038161388,0.7492934351461583,25
Reactive_Oxygen_Species,0.2337137457797152,0.02893589444271749,0.7456864320714464,26
Apoptosis,0.18320044676342323,-0.010456342942626096,0.6690776576072177,27
tgfb,0.14399665041656926,-0.002945383784912048,0.6589886704003616,28
ifng,0.14012460840417382,-0.0561270512611074,0.6690131444369265,29
Interferon_Alpha,0.08439252222410923,-0.2883451757798996,0.87609674327,30
