pathway,pcc,r2,mae,rank
ECM_Organization,0.7248671121210962,0.40806692667090483,0.5113936843075706,1
MYC_Targets,0.7186719667397673,0.485463603347412,0.5542343260202448,2
Fibrosis,0.6883922151237912,0.3597947139095381,0.52952733384,3
Oxidative_Phosphorylation,0.6852146571827558,0.4479950715612768,0.5717287692995857,4
tls,0.6423807212736891,0.343938535559113,0.43419211454338985,5
Wound_Healing,0.5987573366163506,0.22635465013639677,0.614391812793968,6
Glycolysis,0.579869843882533,0.30595582799052945,0.6355754901798718,7
IL6_JAK_STAT3,0.572974779157356,0.32193928496580837,0.6387253599922638,8
emt,0.5453384314198114,0.22210664997447416,0.5852585717359133,9
toxic,0.5371907383086824,0.20121560172904296,0.5049036184153032,10
E2F_Targets,0.5040265496465487,0.23012143318263223,0.5725233692927932,11
Angiogenesis,0.49420188526662684,0.21607096390721336,0.6219972386036535,12
G2M_Checkpoint,0.46188786840366963,0.20634788050180375,0.5621752151651978,13
mTOR_Signaling,0.4536389692270651,0.20200375200057386,0.6323344605088097,14
Mitotic_Spindle,0.44185874577924233,0.1885663320854296,0.581536424321032,15
mhc,0.4354056589400137,0.16696609451523314,0.7296485806181977,16
hypoxia,0.41557478088053035,0.08628915745520627,0.7429646029948908,17
P53_Pathway,0.4040916718805272,0.15410316309730643,0.6567975161137902,18
Complement,0.3781142071536905,0.06967990167192317,0.6413768993183615,19
Unfolded_Protein_Response,0.37236393286910774,0.13224845230957083,0.689111071830806,20
Inflammatory_Response,0.35746763609683924,0.10458152699255363,0.7573800752596045,21
Coagulation,0.31703949190720665,0.05962356959906312,0.7375381616996204,22
icp,0.31137926933455096,0.05036706217678466,0.4431704928126892,23
DNA_Damage_Response,0.30678826876666765,0.07997024049151136,0.6151497167726806,24
Reactive_Oxygen_Species,0.304502881259334,0.04326026601320587,0.7398042599451106,25
TNF_Signaling,0.2460428097710291,0.005612106477465351,0.7864863250418682,26
Apoptosis,0.20144455804984124,0.021702253130721605,0.6709126722921055,27
tgfb,0.1647180850656879,0.01707157698523687,0.6675482859312422,28
ifng,0.16216440765317178,-0.06354549663463316,0.6859249454987947,29
Interferon_Alpha,0.04909032583850981,-0.26835442200103543,0.8768425926365574,30
