pathway,pcc,r2,mae,rank
MYC_Targets,0.7253893389820022,0.5081863653180618,0.5388695013007722,1
Oxidative_Phosphorylation,0.6997265590174122,0.48376750446896444,0.5415975542499548,2
ECM_Organization,0.6948728663382018,0.21978421783888547,0.6010480801080829,3
Fibrosis,0.6732923792456796,0.25685474366641325,0.5711580611588626,4
tls,0.6319816618818709,0.33045157696689065,0.43421339693151795,5
Glycolysis,0.5935226227737215,0.3434507031675035,0.62138959634742,6
IL6_JAK_STAT3,0.5829813624580763,0.32837268311856294,0.6204517630527646,7
Wound_Healing,0.5713431838308581,0.11845601151157004,0.6589844887743428,8
toxic,0.5298550979404587,0.23104370117375606,0.476326602849597,9
emt,0.5195207032458794,0.12695083773003213,0.6291564056307608,10
E2F_Targets,0.49145293182930433,0.21538966283284344,0.6010894468872165,11
Angiogenesis,0.4721932656808795,0.18911815944440868,0.6265007063887374,12
hypoxia,0.45145909474212104,0.11830125480555231,0.716457513900196,13
G2M_Checkpoint,0.44627561081584705,0.19589943345221061,0.5788960854454238,14
mTOR_Signaling,0.4432009646357677,0.19364708422977417,0.6398962493870283,15
Mitotic_Spindle,0.4258703210300771,0.17788548638919766,0.593404784039774,16
mhc,0.42548245011097596,0.13228287508372205,0.7593529194656873,17
P53_Pathway,0.4011081950013753,0.13868578230679762,0.6558357550666829,18
Complement,0.3699148059405779,0.034735590575865505,0.6557601952370433,19
Unfolded_Protein_Response,0.35355816878483076,0.09750375998436489,0.6855754129953786,20
icp,0.3055715691601759,0.03595648917101357,0.4489971238334463,21
DNA_Damage_Response,0.29170719731258304,0.06588524488964076,0.6194207886631424,22
Reactive_Oxygen_Species,0.282419896292538,0.056111757452081856,0.7157668095652316,23
Inflammatory_Response,0.26676045932967785,0.023086343350704808,0.7905142738717663,24
Coagulation,0.2154996379983885,0.017950723414710712,0.7545690940763692,25
TNF_Signaling,0.21506906348311536,0.0014510595101272505,0.7838622241326807,26
Apoptosis,0.20058398852210357,-0.0013824699592011047,0.6756552957256158,27
ifng,0.1642259018054436,-0.08420648358054938,0.7032436417090282,28
tgfb,0.13955363737025048,0.01001808570771412,0.6709195251019702,29
Interferon_Alpha,0.04930521471107093,-0.3717433883266219,0.9257071935107307,30
