Target 0: MSE=0.556423, MAE=0.517057, MAPE=516.971497%, R²=0.433078, PCC=0.662785
Target 1: MSE=0.437288, MAE=0.502595, MAPE=151.381714%, R²=0.545396, PCC=0.740500
Target 2: MSE=0.683272, MAE=0.594983, MAPE=167.808289%, R²=0.306089, PCC=0.556601
Target 3: MSE=0.735337, MAE=0.603265, MAPE=359.745575%, R²=0.184738, PCC=0.452226
Target 4: MSE=0.612711, MAE=0.515922, MAPE=270.262756%, R²=0.318165, PCC=0.566049
Target 5: MSE=0.542021, MAE=0.498600, MAPE=165.228073%, R²=0.397846, PCC=0.631072
Target 6: MSE=0.552755, MAE=0.523365, MAPE=202.054520%, R²=0.411458, PCC=0.641938
Target 7: MSE=0.572047, MAE=0.524797, MAPE=250.746613%, R²=0.418066, PCC=0.649912
Target 8: MSE=0.605960, MAE=0.548974, MAPE=292.448975%, R²=0.377926, PCC=0.622462
Target 9: MSE=0.324808, MAE=0.386375, MAPE=273.035248%, R²=0.661520, PCC=0.817602
Target 10: MSE=0.265053, MAE=0.341529, MAPE=328.194458%, R²=0.716325, PCC=0.850570
Target 11: MSE=0.415346, MAE=0.453160, MAPE=269.289154%, R²=0.558661, PCC=0.749439
Target 12: MSE=0.467267, MAE=0.448232, MAPE=623.563843%, R²=0.523237, PCC=0.724253
Target 13: MSE=0.510404, MAE=0.452960, MAPE=303.028107%, R²=0.456236, PCC=0.677647
Target 14: MSE=0.524468, MAE=0.461018, MAPE=465.967407%, R²=0.383274, PCC=0.623312
Target 15: MSE=0.708765, MAE=0.589009, MAPE=159.598282%, R²=0.289434, PCC=0.539406
Target 16: MSE=0.723952, MAE=0.583156, MAPE=170.436249%, R²=0.241506, PCC=0.493226
Target 17: MSE=0.554431, MAE=0.514784, MAPE=176.348969%, R²=0.427184, PCC=0.655442
Target 18: MSE=0.400664, MAE=0.433638, MAPE=300.187531%, R²=0.577963, PCC=0.761755
Target 19: MSE=0.700122, MAE=0.574718, MAPE=231.598190%, R²=0.166170, PCC=0.430375
Target 20: MSE=0.728846, MAE=0.612256, MAPE=595.525269%, R²=0.266268, PCC=0.524229
Target 21: MSE=0.218804, MAE=0.314873, MAPE=95.935326%, R²=0.761203, PCC=0.874452
Target 22: MSE=0.418071, MAE=0.306611, MAPE=280.129639%, R²=0.682404, PCC=0.855880
Target 23: MSE=0.730047, MAE=0.556836, MAPE=177.046509%, R²=0.205980, PCC=0.463418
Target 24: MSE=0.406506, MAE=0.419670, MAPE=68.481758%, R²=0.527126, PCC=0.726712
Target 25: MSE=0.518286, MAE=0.507003, MAPE=533.977783%, R²=0.459358, PCC=0.683811
Target 26: MSE=0.531266, MAE=0.530320, MAPE=52.808960%, R²=0.456549, PCC=0.677376
Target 27: MSE=0.635264, MAE=0.345593, MAPE=368.762695%, R²=0.460705, PCC=0.715880
Target 28: MSE=0.617042, MAE=0.462341, MAPE=61.168564%, R²=0.315316, PCC=0.565503
Target 29: MSE=0.477942, MAE=0.312189, MAPE=81.386902%, R²=0.555420, PCC=0.762804
